order_id,customer_id,customer_name,customer_segment,customer_type,first_purchase_date,last_purchase_date,product_id,product_name,category,sub_category,brand,order_date,quantity,unit_price,discount_pct,sales_channel,payment_method,sales_rep,region,operating_expenses,cash_balance,debt_balance,monthly_burn,churn_flag
10001,C1689,Thiago Alves,Consumer,New,2023-08-26,2024-04-24,P1001,MX Keys S,Electronics,Peripherals,Logitech,2024-04-24,4,109.77,0.05,Online,Credit Card,Eduardo,South,239.83,14629.23,3092.03,329.57,0
10002,C1002,Juliana Araújo,Consumer,New,2023-02-26,2025-07-15,P1002,Redmi Note 13,Electronics,Smartphones,Xiaomi,2025-07-15,3,350.29,0.15,Online,Credit Card,Diego,North,81.55,8719.54,1189.63,88.62,1
10003,C1422,Igor Costa,Consumer,New,2023-03-10,2024-01-01,P1003,iPad mini,Electronics,Tablets,Apple,2024-01-01,2,643.98,0.15,Online,Cash,Camila,South,244.79,9475.50,3302.27,389.89,0
10004,C1308,João Silva,Consumer,New,2023-10-02,2024-01-17,P1004,Galaxy S24,Electronics,Smartphones,Samsung,2024-01-17,1,844.50,0.00,Retail,Credit Card,Camila,West,304.91,12381.10,122.53,306.67,0
10005,C0826,Vanessa Araújo,Consumer,New,2023-11-04,2024-12-17,P1002,Redmi Note 13,Electronics,Smartphones,Xiaomi,2024-12-17,1,332.72,0.05,Online,Credit Card,Eduardo,Central,24.90,12661.78,2031.60,317.36,0
10006,C0655,Pedro Ribeiro,Consumer,New,2023-07-30,2025-04-29,P1005,Latitude 5440,Electronics,Laptops,Dell,2025-04-29,2,1176.70,0.05,Online,Debit Card,Eduardo,East,304.33,13556.28,5138.21,125.13,0
10007,C0779,Mariana Martins,Consumer,New,2023-06-09,2025-05-01,P1006,iPhone 15,Electronics,Smartphones,Apple,2025-05-01,1,933.79,0.00,Retail,Debit Card,Ana,West,128.99,11662.97,1009.29,163.64,0
10008,C0962,Lucas Costa,Consumer,New,2022-08-10,2025-12-21,P1007,iPhone 14,Electronics,Smartphones,Apple,2025-12-21,2,762.76,0.05,Online,Credit Card,Ana,Central,148.88,7694.68,86.38,155.27,0
10009,C1428,Aline Rocha,Corporate,New,2022-12-17,2024-02-19,P1008,HomePod mini,Electronics,Audio,Apple,2024-02-19,1,102.33,0.05,Online,Credit Card,Bruno,North,101.41,10240.91,1890.63,50.37,0
10010,C0318,Mateus Ribeiro,Consumer,New,2023-05-16,2025-05-08,P1009,iPad Air,Electronics,Tablets,Apple,2025-05-08,1,735.81,0.15,Retail,Cash,Diego,North,105.10,8898.65,2903.98,110.74,1
10011,C1196,Rafael Barbosa,Corporate,New,2023-09-21,2025-03-31,P1010,Brio 500,Electronics,Peripherals,Logitech,2025-03-31,3,138.25,0.00,Online,Credit Card,Eduardo,Central,19.29,11464.16,6077.01,289.58,0
10012,C0881,Carlos Ribeiro,Consumer,New,2023-06-17,2025-01-12,P1011,Poco X6,Electronics,Smartphones,Xiaomi,2025-01-12,1,373.87,0.05,Online,Debit Card,Diego,North,32.07,17062.65,2145.36,339.93,0
10013,C0733,Rafael Pereira,Corporate,New,2022-08-31,2024-05-20,P1012,MacBook Air M3,Electronics,Laptops,Apple,2024-05-20,1,1417.93,0.10,Online,Credit Card,Eduardo,East,183.67,9505.79,715.48,299.44,0
