order_id,customer_id,customer_name,customer_segment,customer_type,first_purchase_date,last_purchase_date,product_id,product_name,category,sub_category,brand,order_date,quantity,unit_price,discount_pct,sales_channel,payment_method,sales_rep,region,operating_expenses,cash_balance,debt_balance,monthly_burn,churn_flag,gross_revenue,net_revenue,cogs_pct,cost_of_goods_sold,gross_profit,order_year,order_month,order_quarter,order_month_year,margin_pct
10001,P1001,Thiago Alves,Consumer,New,2023-08-26,2024-04-24,P1001,Mx Keys S,Electronics,Peripherals,Logitech,2024-04-24,4,109.77,0.05,Online,Credit Card,Eduardo,South,239.83,14629.23,3092.03,329.57,0,439.08,417.126,0.5,219.54,197.58599999999998,2024,4,2,2024-04,47.368421052631575
10002,P1002,Juliana Araújo,Consumer,New,2023-02-26,2025-07-15,P1002,Redmi Note 13,Electronics,Smartphones,Xiaomi,2025-07-15,3,350.29,0.15,Online,Credit Card,Diego,North,81.55,8719.54,1189.63,88.62,1,1050.8700000000001,893.2395,0.8,840.6960000000001,52.54349999999988,2025,7,3,2025-07,5.882352941176458
10003,P1003,Igor Costa,Consumer,New,2023-03-10,2024-01-01,P1003,Ipad Mini,Electronics,Tablets,Apple,2024-01-01,2,643.98,0.15,Online,Cash,Camila,South,244.79,9475.5,3302.27,389.89,0,1287.96,1094.766,0.75,965.97,128.79600000000005,2024,1,1,2024-01,11.764705882352946
10004,P1004,João Silva,Consumer,New,2023-10-02,2024-01-17,P1004,Galaxy S24,Electronics,Smartphones,Samsung,2024-01-17,1,844.5,0.0,Retail,Credit Card,Camila,West,304.91,12381.1,122.53,306.67,0,844.5,844.5,0.8,675.6,168.89999999999998,2024,1,1,2024-01,20.0
10005,P1002,Vanessa Araújo,Consumer,New,2023-11-04,2024-12-17,P1002,Redmi Note 13,Electronics,Smartphones,Xiaomi,2024-12-17,1,332.72,0.05,Online,Credit Card,Eduardo,Central,24.9,12661.78,2031.6,317.36,0,332.72,316.084,0.8,266.17600000000004,49.90799999999996,2024,12,4,2024-12,15.789473684210515
10006,P1005,Pedro Ribeiro,Consumer,New,2023-07-30,2025-04-29,P1005,Latitude 5440,Electronics,Laptops,Dell,2025-04-29,2,1176.7,0.05,Online,Debit Card,Eduardo,East,304.33,13556.28,5138.21,125.13,0,2353.4,2235.73,0.85,2000.39,235.33999999999992,2025,4,2,2025-04,10.526315789473681
10007,P1006,Mariana Martins,Consumer,New,2023-06-09,2025-05-01,P1006,Iphone 15,Electronics,Smartphones,Apple,2025-05-01,1,933.79,0.0,Retail,Debit Card,Ana,West,128.99,11662.97,1009.29,163.64,0,933.79,933.79,0.8,747.032,186.75799999999992,2025,5,2,2025-05,19.999999999999993
10008,P1007,Lucas Costa,Consumer,New,2022-08-10,2025-12-21,P1007,Iphone 14,Electronics,Smartphones,Apple,2025-12-21,2,762.76,0.05,Online,Credit Card,Ana,Central,148.88,7694.68,86.38,155.27,0,1525.52,1449.244,0.8,1220.416,228.82799999999997,2025,12,4,2025-12,15.789473684210526
10009,P1008,Aline Rocha,Corporate,New,2022-12-17,2024-02-19,P1008,Homepod Mini,Electronics,Audio,Apple,2024-02-19,1,102.33,0.05,Online,Credit Card,Bruno,North,101.41,10240.91,1890.63,50.37,0,102.33,97.2135,0.7,71.631,25.582499999999996,2024,2,1,2024-02,26.31578947368421
10010,P1009,Mateus Ribeiro,Consumer,New,2023-05-16,2025-05-08,P1009,Ipad Air,Electronics,Tablets,Apple,2025-05-08,1,735.81,0.15,Retail,Cash,Diego,North,105.1,8898.65,2903.98,110.74,1,735.81,625.4385,0.75,551.8575,73.58100000000002,2025,5,2,2025-05,11.764705882352944
10011,P1010,Rafael Barbosa,Corporate,New,2023-09-21,2025-03-31,P1010,Brio 500,Electronics,Peripherals,Logitech,2025-03-31,3,138.25,0.0,Online,Credit Card,Eduardo,Central,19.29,11464.16,6077.01,289.58,0,414.75,414.75,0.5,207.375,207.375,2025,3,1,2025-03,50.0
10012,P1011,Carlos Ribeiro,Consumer,New,2023-06-17,2025-01-12,P1011,Poco X6,Electronics,Smartphones,Xiaomi,2025-01-12,1,373.87,0.05,Online,Debit Card,Diego,North,32.07,17062.65,2145.36,339.93,0,373.87,355.1765,0.8,299.096,56.08049999999997,2025,1,1,2025-01,15.78947368421052
10013,P1012,Rafael Pereira,Corporate,New,2022-08-31,2024-05-20,P1012,Macbook Air M3,Electronics,Laptops,Apple,2024-05-20,1,1417.93,0.1,Online,Credit Card,Eduardo,East,183.67,9505.79,715.48,299.44,0,1417.93,1276.1370000000002,0.85,1205.2405,70.89650000000006,2024,5,2,2024-05,5.55555555555556
10014,P1006,Sofia Gomes,Smb,New,2022-10-28,2025-07-27,P1006,Iphone 15,Electronics,Smartphones,Apple,2025-07-27,1,951.44,0.0,Retail,Credit Card,Camila,North,169.14,11193.8,5711.38,422.31,0,951.44,951.44,0.8,761.152,190.288,2025,7,3,2025-07,20.0
10015,P1013,Igor Alves,Consumer,New,2022-10-11,2024-05-20,P1013,Wf-1000Xm5,Electronics,Audio,Sony,2024-05-20,1,267.56,0.05,Online,Debit Card,Diego,West,77.95,17046.11,2738.48,205.62,0,267.56,254.182,0.7,187.292,66.88999999999999,2024,5,2,2024-05,26.31578947368421
10016,P1014,Gabriel Teixeira,Consumer,New,2023-07-20,2025-11-14,P1014,Wh-1000Xm5,Electronics,Audio,Sony,2025-11-14,1,329.52,0.2,Online,Credit Card,Ana,Central,62.74,9425.02,3479.24,427.56,0,329.52,263.616,0.7,230.66399999999996,32.95200000000003,2025,11,4,2025-11,12.50000000000001
